rank,qualified,entry_pattern,timeframe,trail_timeframe,range_start,range_end,session_start,entry_cutoff,session_end,entry_buffer_pct,stop_points,stop_points_unit,first_trail_profit,first_trail_profit_unit,first_trail_lock_loss,first_trail_lock_loss_unit,second_trail_profit,second_trail_profit_unit,total_trades,wins,losses,win_rate_pct,net_points,profit_factor,max_drawdown_points
1,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,400.0,POINTS,300.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
2,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,400.0,POINTS,400.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
3,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,400.0,POINTS,200.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
4,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,700.0,POINTS,300.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
5,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,700.0,POINTS,400.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
6,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,700.0,POINTS,200.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
7,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,600.0,POINTS,300.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
8,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,600.0,POINTS,400.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
9,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,600.0,POINTS,200.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
10,False,BOTH,M5,M1,10:30,11:30,11:30,19:00,21:30,0.05,200.0,POINTS,500.0,POINTS,300.0,POINTS,700.0,POINTS,52,32,20,61.54,139.93,1.15,-504.87
