rank,qualified,entry_pattern,timeframe,trail_timeframe,range_start,range_end,session_start,entry_cutoff,session_end,entry_buffer_pct,stop_points,stop_points_unit,first_trail_profit,first_trail_profit_unit,first_trail_lock_loss,first_trail_lock_loss_unit,second_trail_profit,second_trail_profit_unit,total_trades,wins,losses,win_rate_pct,net_points,profit_factor,max_drawdown_points
1,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,400.0,POINTS,300.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
2,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,400.0,POINTS,400.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
3,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,400.0,POINTS,200.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
4,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,700.0,POINTS,300.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
5,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,700.0,POINTS,400.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
6,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,700.0,POINTS,200.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
7,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,600.0,POINTS,300.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
8,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,600.0,POINTS,400.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
9,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,600.0,POINTS,200.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
10,False,BOTH,H4,M1,06:30,07:30,07:30,19:00,21:30,0.25,400.0,POINTS,500.0,POINTS,300.0,POINTS,700.0,POINTS,38,24,14,63.16,437.43,1.77,-213.79
